# ChatYX voice catalog
# Static provider catalog. Update from the source links in documents/TTS_VOICES.md.

[ChatIS / Streamlabs]
+-----------+-------------------------+--------+------------+
| Voice     | Locale                  | Gender | Features   |
| es-ES-AlvaroNeural                | es-ES      | Male   | General - Friendly, Positive                                   |
| es-ES-ElviraNeural                | es-ES      | Female | General - Friendly, Positive                                   |
| es-ES-XimenaNeural                | es-ES      | Female | General - Friendly, Positive                                   |
| es-GQ-JavierNeural                | es-GQ      | Male   | General - Friendly, Positive                                   |
| es-GQ-TeresaNeural                | es-GQ      | Female | General - Friendly, Positive                                   |
| es-GT-AndresNeural                | es-GT      | Male   | General - Friendly, Positive                                   |
| es-GT-MartaNeural                 | es-GT      | Female | General - Friendly, Positive                                   |
| es-HN-CarlosNeural                | es-HN      | Male   | General - Friendly, Positive                                   |
| es-HN-KarlaNeural                 | es-HN      | Female | General - Friendly, Positive                                   |
| es-MX-DaliaNeural                 | es-MX      | Female | General - Friendly, Positive                                   |
| es-MX-JorgeNeural                 | es-MX      | Male   | General - Friendly, Positive                                   |
| es-NI-FedericoNeural              | es-NI      | Male   | General - Friendly, Positive                                   |
| es-NI-YolandaNeural               | es-NI      | Female | General - Friendly, Positive                                   |
| es-PA-MargaritaNeural             | es-PA      | Female | General - Friendly, Positive                                   |
| es-PA-RobertoNeural               | es-PA      | Male   | General - Friendly, Positive                                   |
| es-PE-AlexNeural                  | es-PE      | Male   | General - Friendly, Positive                                   |
| es-PE-CamilaNeural                | es-PE      | Female | General - Friendly, Positive                                   |
| es-PR-KarinaNeural                | es-PR      | Female | General - Friendly, Positive                                   |
| es-PR-VictorNeural                | es-PR      | Male   | General - Friendly, Positive                                   |
| es-PY-MarioNeural                 | es-PY      | Male   | General - Friendly, Positive                                   |
| es-PY-TaniaNeural                 | es-PY      | Female | General - Friendly, Positive                                   |
| es-SV-LorenaNeural                | es-SV      | Female | General - Friendly, Positive                                   |
| es-SV-RodrigoNeural               | es-SV      | Male   | General - Friendly, Positive                                   |
| es-US-AlonsoNeural                | es-US      | Male   | General - Friendly, Positive                                   |
| es-US-PalomaNeural                | es-US      | Female | General - Friendly, Positive                                   |
| es-UY-MateoNeural                 | es-UY      | Male   | General - Friendly, Positive                                   |
| es-UY-ValentinaNeural             | es-UY      | Female | General - Friendly, Positive                                   |
| es-VE-PaolaNeural                 | es-VE      | Female | General - Friendly, Positive                                   |
| es-VE-SebastianNeural             | es-VE      | Male   | General - Friendly, Positive                                   |
| et-EE-AnuNeural                   | et-EE      | Female | General - Friendly, Positive                                   |
| et-EE-KertNeural                  | et-EE      | Male   | General - Friendly, Positive                                   |
| fa-IR-DilaraNeural                | fa-IR      | Female | General - Friendly, Positive                                   |
| fa-IR-FaridNeural                 | fa-IR      | Male   | General - Friendly, Positive                                   |
| fi-FI-HarriNeural                 | fi-FI      | Male   | General - Friendly, Positive                                   |
| fi-FI-NooraNeural                 | fi-FI      | Female | General - Friendly, Positive                                   |
| fil-PH-AngeloNeural               | fil-PH     | Male   | General - Friendly, Positive                                   |
| fil-PH-BlessicaNeural             | fil-PH     | Female | General - Friendly, Positive                                   |
| fr-BE-CharlineNeural              | fr-BE      | Female | General - Friendly, Positive                                   |
| fr-BE-GerardNeural                | fr-BE      | Male   | General - Friendly, Positive                                   |
| fr-CA-AntoineNeural               | fr-CA      | Male   | General - Friendly, Positive                                   |
| fr-CA-JeanNeural                  | fr-CA      | Male   | General - Friendly, Positive                                   |
| fr-CA-SylvieNeural                | fr-CA      | Female | General - Friendly, Positive                                   |
| fr-CA-ThierryNeural               | fr-CA      | Male   | General - Friendly, Positive                                   |
| fr-CH-ArianeNeural                | fr-CH      | Female | General - Friendly, Positive                                   |
| fr-CH-FabriceNeural               | fr-CH      | Male   | General - Friendly, Positive                                   |
| fr-FR-DeniseNeural                | fr-FR      | Female | General - Friendly, Positive                                   |
| fr-FR-EloiseNeural                | fr-FR      | Female | General - Friendly, Positive                                   |
| fr-FR-HenriNeural                 | fr-FR      | Male   | General - Friendly, Positive                                   |
| fr-FR-RemyMultilingualNeural      | fr-FR      | Male   | General - Friendly, Positive                                   |
| fr-FR-VivienneMultilingualNeural  | fr-FR      | Female | General - Friendly, Positive                                   |
| ga-IE-ColmNeural                  | ga-IE      | Male   | General - Friendly, Positive                                   |
| ga-IE-OrlaNeural                  | ga-IE      | Female | General - Friendly, Positive                                   |
| gl-ES-RoiNeural                   | gl-ES      | Male   | General - Friendly, Positive                                   |
| gl-ES-SabelaNeural                | gl-ES      | Female | General - Friendly, Positive                                   |
| gu-IN-DhwaniNeural                | gu-IN      | Female | General - Friendly, Positive                                   |
| gu-IN-NiranjanNeural              | gu-IN      | Male   | General - Friendly, Positive                                   |
| he-IL-AvriNeural                  | he-IL      | Male   | General - Friendly, Positive                                   |
| he-IL-HilaNeural                  | he-IL      | Female | General - Friendly, Positive                                   |
| hi-IN-MadhurNeural                | hi-IN      | Male   | General - Friendly, Positive                                   |
| hi-IN-SwaraNeural                 | hi-IN      | Female | General - Friendly, Positive                                   |
| hr-HR-GabrijelaNeural             | hr-HR      | Female | General - Friendly, Positive                                   |
| hr-HR-SreckoNeural                | hr-HR      | Male   | General - Friendly, Positive                                   |
| hu-HU-NoemiNeural                 | hu-HU      | Female | General - Friendly, Positive                                   |
| hu-HU-TamasNeural                 | hu-HU      | Male   | General - Friendly, Positive                                   |
| id-ID-ArdiNeural                  | id-ID      | Male   | General - Friendly, Positive                                   |
| id-ID-GadisNeural                 | id-ID      | Female | General - Friendly, Positive                                   |
| is-IS-GudrunNeural                | is-IS      | Female | General - Friendly, Positive                                   |
| is-IS-GunnarNeural                | is-IS      | Male   | General - Friendly, Positive                                   |
| it-IT-DiegoNeural                 | it-IT      | Male   | General - Friendly, Positive                                   |
| it-IT-ElsaNeural                  | it-IT      | Female | General - Friendly, Positive                                   |
| it-IT-GiuseppeMultilingualNeural  | it-IT      | Male   | General - Friendly, Positive                                   |
| it-IT-IsabellaNeural              | it-IT      | Female | General - Friendly, Positive                                   |
| iu-Cans-CA-SiqiniqNeural          | iu-Cans-CA | Female | General - Friendly, Positive                                   |
| iu-Cans-CA-TaqqiqNeural           | iu-Cans-CA | Male   | General - Friendly, Positive                                   |
| iu-Latn-CA-SiqiniqNeural          | iu-Latn-CA | Female | General - Friendly, Positive                                   |
| iu-Latn-CA-TaqqiqNeural           | iu-Latn-CA | Male   | General - Friendly, Positive                                   |
| ja-JP-KeitaNeural                 | ja-JP      | Male   | General - Friendly, Positive                                   |
| ja-JP-NanamiNeural                | ja-JP      | Female | General - Friendly, Positive                                   |
| jv-ID-DimasNeural                 | jv-ID      | Male   | General - Friendly, Positive                                   |
| jv-ID-SitiNeural                  | jv-ID      | Female | General - Friendly, Positive                                   |
| ka-GE-EkaNeural                   | ka-GE      | Female | General - Friendly, Positive                                   |
| ka-GE-GiorgiNeural                | ka-GE      | Male   | General - Friendly, Positive                                   |
| kk-KZ-AigulNeural                 | kk-KZ      | Female | General - Friendly, Positive                                   |
| kk-KZ-DauletNeural                | kk-KZ      | Male   | General - Friendly, Positive                                   |
| km-KH-PisethNeural                | km-KH      | Male   | General - Friendly, Positive                                   |
| km-KH-SreymomNeural               | km-KH      | Female | General - Friendly, Positive                                   |
| kn-IN-GaganNeural                 | kn-IN      | Male   | General - Friendly, Positive                                   |
| kn-IN-SapnaNeural                 | kn-IN      | Female | General - Friendly, Positive                                   |
| ko-KR-HyunsuMultilingualNeural    | ko-KR      | Male   | General - Friendly, Positive                                   |
| ko-KR-InJoonNeural                | ko-KR      | Male   | General - Friendly, Positive                                   |
| ko-KR-SunHiNeural                 | ko-KR      | Female | General - Friendly, Positive                                   |
| lo-LA-ChanthavongNeural           | lo-LA      | Male   | General - Friendly, Positive                                   |
| lo-LA-KeomanyNeural               | lo-LA      | Female | General - Friendly, Positive                                   |
| lt-LT-LeonasNeural                | lt-LT      | Male   | General - Friendly, Positive                                   |
| lt-LT-OnaNeural                   | lt-LT      | Female | General - Friendly, Positive                                   |
| lv-LV-EveritaNeural               | lv-LV      | Female | General - Friendly, Positive                                   |
| lv-LV-NilsNeural                  | lv-LV      | Male   | General - Friendly, Positive                                   |
| mk-MK-AleksandarNeural            | mk-MK      | Male   | General - Friendly, Positive                                   |
| mk-MK-MarijaNeural                | mk-MK      | Female | General - Friendly, Positive                                   |
| ml-IN-MidhunNeural                | ml-IN      | Male   | General - Friendly, Positive                                   |
| ml-IN-SobhanaNeural               | ml-IN      | Female | General - Friendly, Positive                                   |
| mn-MN-BataaNeural                 | mn-MN      | Male   | General - Friendly, Positive                                   |
| mn-MN-YesuiNeural                 | mn-MN      | Female | General - Friendly, Positive                                   |
| mr-IN-AarohiNeural                | mr-IN      | Female | General - Friendly, Positive                                   |
| mr-IN-ManoharNeural               | mr-IN      | Male   | General - Friendly, Positive                                   |
| ms-MY-OsmanNeural                 | ms-MY      | Male   | General - Friendly, Positive                                   |
| ms-MY-YasminNeural                | ms-MY      | Female | General - Friendly, Positive                                   |
| mt-MT-GraceNeural                 | mt-MT      | Female | General - Friendly, Positive                                   |
| mt-MT-JosephNeural                | mt-MT      | Male   | General - Friendly, Positive                                   |
| my-MM-NilarNeural                 | my-MM      | Female | General - Friendly, Positive                                   |
| my-MM-ThihaNeural                 | my-MM      | Male   | General - Friendly, Positive                                   |
| nb-NO-FinnNeural                  | nb-NO      | Male   | General - Friendly, Positive                                   |
| nb-NO-PernilleNeural              | nb-NO      | Female | General - Friendly, Positive                                   |
| ne-NP-HemkalaNeural               | ne-NP      | Female | General - Friendly, Positive                                   |
| ne-NP-SagarNeural                 | ne-NP      | Male   | General - Friendly, Positive                                   |
| nl-BE-ArnaudNeural                | nl-BE      | Male   | General - Friendly, Positive                                   |
| nl-BE-DenaNeural                  | nl-BE      | Female | General - Friendly, Positive                                   |
| nl-NL-ColetteNeural               | nl-NL      | Female | General - Friendly, Positive                                   |
